emd_nm,base_year_month,base_year_month(sub),em_cnt,em_g,pay_amt
삼도2동,2020년 07월,2020년 7월,20887,39410400,1158621
삼도2동,2020년 08월,2020년 8월,19954,38042250,1124558
삼도2동,2020년 09월,2020년 9월,17484,30701050,910878
삼도2동,2020년 10월,2020년 10월,16851,30367250,902817
삼도2동,2020년 11월,2020년 11월,15278,30242650,900453
삼도2동,2020년 12월,2020년 12월,15019,31214650,929188
삼도2동,2021년 01월,2021년 1월,12959,28184650,842344
삼도2동,2021년 02월,2021년 2월,12085,26655750,796660
삼도2동,2021년 03월,2021년 3월,11799,24801600,741111
삼도2동,2021년 04월,2021년 4월,11627,23157600,691836
삼도2동,2021년 05월,2021년 5월,12852,24945700,745184
삼도2동,2021년 06월,2021년 6월,12943,24066500,718753
삼양동,2018년 01월,2018년 1월,42726,102218000,3015893
삼양동,2018년 02월,2018년 2월,40524,96713450,2857023
삼양동,2018년 03월,2018년 3월,44644,102398050,3023056
삼양동,2018년 04월,2018년 4월,43448,92406800,2727789
삼양동,2018년 05월,2018년 5월,48141,97071900,2863184
삼양동,2018년 06월,2018년 6월,52339,104939850,3095825
삼양동,2018년 07월,2018년 7월,64273,132845050,3920137
삼양동,2018년 08월,2018년 8월,61645,121738500,3590695
삼양동,2018년 09월,2018년 9월,56783,103698750,3058752
삼양동,2018년 10월,2018년 10월,51684,95545200,2823001
삼양동,2018년 11월,2018년 11월,48542,97723950,2885998
삼양동,2018년 12월,2018년 12월,47484,106564050,3156067
삼양동,2019년 01월,2019년 1월,46268,102886400,3049165
삼양동,2019년 02월,2019년 2월,44277,100438200,2976771
삼양동,2019년 03월,2019년 3월,45290,98265650,2912984
삼양동,2019년 04월,2019년 4월,44832,91513250,2716347
삼양동,2019년 05월,2019년 5월,51980,101518950,3032639
삼양동,2019년 06월,2019년 6월,56050,109558700,3272743
삼양동,2019년 07월,2019년 7월,63531,127378250,3805579
삼양동,2019년 08월,2019년 8월,63800,118668400,3544190
삼양동,2019년 09월,2019년 9월,58756,108093245,3213099
삼양동,2019년 10월,2019년 10월,53732,92665885,2751084
삼양동,2019년 11월,2019년 11월,50101,93866750,2788372
삼양동,2019년 12월,2019년 12월,49182,102451450,3043774
삼양동,2020년 01월,2020년 1월,49621,108895450,3234919
삼양동,2020년 02월,2020년 2월,47844,103103700,3062420
삼양동,2020년 03월,2020년 3월,53093,109838850,3263260
삼양동,2020년 04월,2020년 4월,48902,95539210,2838289
삼양동,2020년 05월,2020년 5월,55436,104476200,3099654
삼양동,2020년 06월,2020년 6월,47912,89653250,2656546
삼양동,2020년 07월,2020년 7월,60173,110306150,3266366
삼양동,2020년 08월,2020년 8월,60258,110548100,3297647
삼양동,2020년 09월,2020년 9월,52094,88975450,2656285
삼양동,2020년 10월,2020년 10월,49636,86136310,2571872
삼양동,2020년 11월,2020년 11월,43932,84711750,2530398
삼양동,2020년 12월,2020년 12월,46912,97844950,2908149
삼양동,2021년 01월,2021년 1월,45538,94467640,2804429
삼양동,2021년 02월,2021년 2월,38048,80428320,2403325
삼양동,2021년 03월,2021년 3월,42531,87197200,2605322
삼양동,2021년 04월,2021년 4월,43813,84829840,2533936
삼양동,2021년 05월,2021년 5월,49969,93122870,2781197
삼양동,2021년 06월,2021년 6월,52430,96172500,2872148
서홍동,2018년 01월,2018년 1월,15597,47230450,1397423
서홍동,2018년 02월,2018년 2월,15013,45843500,1358929
서홍동,2018년 03월,2018년 3월,16243,48582800,1445073
서홍동,2018년 04월,2018년 4월,15485,44080700,1312859
서홍동,2018년 05월,2018년 5월,16979,44875250,1336662
서홍동,2018년 06월,2018년 6월,17531,45915250,1366823
서홍동,2018년 07월,2018년 7월,21064,53264700,1585899
서홍동,2018년 08월,2018년 8월,21462,52265950,1555176
서홍동,2018년 09월,2018년 9월,20800,48260450,1438560
서홍동,2018년 10월,2018년 10월,19207,46832100,1395039
서홍동,2018년 11월,2018년 11월,17721,45646500,1360892
서홍동,2018년 12월,2018년 12월,17939,49404600,1462715
서홍동,2019년 01월,2019년 1월,14060,40390200,1205227
서홍동,2019년 02월,2019년 2월,8893,23934350,715333
서홍동,2019년 03월,2019년 3월,5778,14023750,418894
서홍동,2019년 04월,2019년 4월,5789,13657550,403291
서홍동,2019년 05월,2019년 5월,15830,38787050,1146927
서홍동,2019년 06월,2019년 6월,18250,44145400,1311219
서홍동,2019년 07월,2019년 7월,21594,52257450,1561777
서홍동,2019년 08월,2019년 8월,22292,52004550,1543127
서홍동,2019년 09월,2019년 9월,20694,46899350,1384363
서홍동,2019년 10월,2019년 10월,19001,42088700,1242240
서홍동,2019년 11월,2019년 11월,17979,43400700,1283492
서홍동,2019년 12월,2019년 12월,17069,44950900,1334698
서홍동,2020년 01월,2020년 1월,15526,43321100,1295737
서홍동,2020년 02월,2020년 2월,14629,40153050,1200977
서홍동,2020년 03월,2020년 3월,16255,42033800,1256945
서홍동,2020년 04월,2020년 4월,15418,37353700,1116770
서홍동,2020년 05월,2020년 5월,16819,39287850,1174439
서홍동,2020년 06월,2020년 6월,17108,39029650,1166578
서홍동,2020년 07월,2020년 7월,18648,40746100,1217582
서홍동,2020년 08월,2020년 8월,25071,56296100,1682292
서홍동,2020년 09월,2020년 9월,22303,47293500,1412600
서홍동,2020년 10월,2020년 10월,19742,43249150,1291847
서홍동,2020년 11월,2020년 11월,15516,35093100,1048372
서홍동,2020년 12월,2020년 12월,15749,40146100,1199201
서홍동,2021년 01월,2021년 1월,16533,42811500,1277628
서홍동,2021년 02월,2021년 2월,16133,42488650,1268342
서홍동,2021년 03월,2021년 3월,17363,43048550,1285182
서홍동,2021년 04월,2021년 4월,16810,39314300,1173536
서홍동,2021년 05월,2021년 5월,16953,38265400,1142491
서홍동,2021년 06월,2021년 6월,14277,29767600,888409
성산읍,2018년 01월,2018년 1월,2456,11343100,339679
성산읍,2018년 02월,2018년 2월,2323,10137100,303538
성산읍,2018년 03월,2018년 3월,2756,13681050,409754
성산읍,2018년 04월,2018년 4월,2713,14115500,422756
성산읍,2018년 05월,2018년 5월,3232,14259700,426976
성산읍,2018년 06월,2018년 6월,3240,14160700,423975
성산읍,2018년 07월,2018년 7월,3449,15918350,476677
성산읍,2018년 08월,2018년 8월,3282,16154350,483825
성산읍,2018년 09월,2018년 9월,2835,13481700,403769
성산읍,2018년 10월,2018년 10월,2800,13774800,412547
성산읍,2018년 11월,2018년 11월,2879,13387450,400909
성산읍,2018년 12월,2018년 12월,2872,15630200,468149
성산읍,2019년 01월,2019년 1월,6076,40014154,1170175
성산읍,2019년 02월,2019년 2월,6575,46043704,1348963
성산읍,2019년 03월,2019년 3월,7209,50507700,1510722
성산읍,2019년 04월,2019년 4월,8041,55663526,1637284
성산읍,2019년 05월,2019년 5월,9552,58067944,1736152
성산읍,2019년 06월,2019년 6월,9939,57757046,1730511
성산읍,2019년 07월,2019년 7월,10931,62051614,1857266
성산읍,2019년 08월,2019년 8월,11207,63509160,1898064
성산읍,2019년 09월,2019년 9월,8344,49593693,1472978
성산읍,2019년 10월,2019년 10월,8527,51296900,1530550
성산읍,2019년 11월,2019년 11월,7814,47126600,1405686
성산읍,2019년 12월,2019년 12월,8005,47381500,1412121
성산읍,2020년 01월,2020년 1월,9759,53259250,1585672
성산읍,2020년 02월,2020년 2월,8833,43668750,1301112
성산읍,2020년 03월,2020년 3월,9955,46373628,1333478
성산읍,2020년 04월,2020년 4월,9863,42885800,1276845
성산읍,2020년 05월,2020년 5월,11917,52756684,1562003
성산읍,2020년 06월,2020년 6월,11813,58983672,1650031
성산읍,2020년 07월,2020년 7월,11872,59437456,1674716
성산읍,2020년 08월,2020년 8월,15375,82187750,2451028
성산읍,2020년 09월,2020년 9월,13867,64840500,1933199
성산읍,2020년 10월,2020년 10월,13068,65917800,1965802
성산읍,2020년 11월,2020년 11월,11457,62781150,1872738
성산읍,2020년 12월,2020년 12월,10956,58846300,1754336
성산읍,2021년 01월,2021년 1월,9800,51552400,1534718
성산읍,2021년 02월,2021년 2월,9721,54796550,1634355
성산읍,2021년 03월,2021년 3월,11156,60014350,1789092
성산읍,2021년 04월,2021년 4월,11484,63529350,1893965
성산읍,2021년 05월,2021년 5월,11459,57482500,1710269
성산읍,2021년 06월,2021년 6월,17581,85688760,2555047
송산동,2018년 01월,2018년 1월,6039,22834700,666988
송산동,2018년 02월,2018년 2월,6333,22845650,668102
송산동,2018년 03월,2018년 3월,8127,29374600,836469
송산동,2018년 04월,2018년 4월,8300,31331450,897246
송산동,2018년 05월,2018년 5월,8766,32837750,945340
송산동,2018년 06월,2018년 6월,8987,31772700,920718
송산동,2018년 07월,2018년 7월,10858,35965550,1035940
송산동,2018년 08월,2018년 8월,10282,33924200,976345
송산동,2018년 09월,2018년 9월,10698,30837000,883033
송산동,2018년 10월,2018년 10월,10138,30286950,871292
송산동,2018년 11월,2018년 11월,9110,28894450,830066
송산동,2018년 12월,2018년 12월,8489,29534450,872902
송산동,2019년 01월,2019년 1월,7485,28136200,840480
송산동,2019년 02월,2019년 2월,4740,16820600,503434
송산동,2019년 03월,2019년 3월,2787,9738800,291469
송산동,2019년 04월,2019년 4월,3002,11162250,334133
송산동,2019년 05월,2019년 5월,7345,28696250,854695
송산동,2019년 06월,2019년 6월,8774,32139400,955167
송산동,2019년 07월,2019년 7월,10514,34753550,1030516
송산동,2019년 08월,2019년 8월,10184,33028800,978392
송산동,2019년 09월,2019년 9월,9460,27761100,820609
송산동,2019년 10월,2019년 10월,8847,25903350,768732
송산동,2019년 11월,2019년 11월,7997,23879300,708524
송산동,2019년 12월,2019년 12월,7295,24298850,720326
송산동,2020년 01월,2020년 1월,7237,25218900,744928
송산동,2020년 02월,2020년 2월,6633,22466700,664009
송산동,2020년 03월,2020년 3월,7579,24734100,732471
송산동,2020년 04월,2020년 4월,7604,27067150,802912
송산동,2020년 05월,2020년 5월,8454,30771900,911381
송산동,2020년 06월,2020년 6월,8869,31989550,948505
송산동,2020년 07월,2020년 7월,9878,32658300,967041
송산동,2020년 08월,2020년 8월,9047,30123950,901505
송산동,2020년 09월,2020년 9월,7024,19669000,588329
송산동,2020년 10월,2020년 10월,6113,17237900,515662
송산동,2020년 11월,2020년 11월,5167,15650900,468238
송산동,2020년 12월,2020년 12월,5865,18290650,547236
송산동,2021년 01월,2021년 1월,5517,17074050,510824
송산동,2021년 02월,2021년 2월,5255,17695700,529586
송산동,2021년 03월,2021년 3월,5786,20041950,599794
송산동,2021년 04월,2021년 4월,6039,22429600,671388
송산동,2021년 05월,2021년 5월,6718,26770600,801455
송산동,2021년 06월,2021년 6월,8196,31243800,935303
아라동,2018년 01월,2018년 1월,51381,120076450,3565424
아라동,2018년 02월,2018년 2월,47792,113409350,3383674
아라동,2018년 03월,2018년 3월,56005,126600400,3777257
아라동,2018년 04월,2018년 4월,57187,120009900,3581667
아라동,2018년 05월,2018년 5월,62967,125428550,3743371
아라동,2018년 06월,2018년 6월,66807,131746050,3930825
아라동,2018년 07월,2018년 7월,80137,160430750,4786506
아라동,2018년 08월,2018년 8월,77120,150581150,4492184
아라동,2018년 09월,2018년 9월,70843,128068300,3818254
아라동,2018년 10월,2018년 10월,65156,121516250,3624567
아라동,2018년 11월,2018년 11월,61326,124576750,3715865
아라동,2018년 12월,2018년 12월,60275,134846400,4024785
아라동,2019년 01월,2019년 1월,58479,131907350,3935919
아라동,2019년 02월,2019년 2월,54591,125788600,3755337
아라동,2019년 03월,2019년 3월,57211,125495000,3744438
아라동,2019년 04월,2019년 4월,56440,116138550,3463430
아라동,2019년 05월,2019년 5월,64629,128605265,3813658
아라동,2019년 06월,2019년 6월,66456,129864113,3873117
아라동,2019년 07월,2019년 7월,73778,146464000,4366542
아라동,2019년 08월,2019년 8월,73928,141699350,4223233
아라동,2019년 09월,2019년 9월,68472,125690350,3747065
아라동,2019년 10월,2019년 10월,64201,111021800,3305345
아라동,2019년 11월,2019년 11월,59590,113050500,3370877
아라동,2019년 12월,2019년 12월,58317,120968950,3606766
아라동,2020년 01월,2020년 1월,50934,110772750,3303545
아라동,2020년 02월,2020년 2월,55782,117567400,3502877
아라동,2020년 03월,2020년 3월,63040,125026900,3726467
아라동,2020년 04월,2020년 4월,58275,111515050,3323313
아라동,2020년 05월,2020년 5월,66911,125904100,3751985
아라동,2020년 06월,2020년 6월,60043,112703700,3357659
아라동,2020년 07월,2020년 7월,74456,139674450,4159469
아라동,2020년 08월,2020년 8월,74924,141323900,4216737
아라동,2020년 09월,2020년 9월,62672,108428100,3234547
아라동,2020년 10월,2020년 10월,59808,105955960,3160805
아라동,2020년 11월,2020년 11월,55773,107873600,3220533
아라동,2020년 12월,2020년 12월,58078,119343000,3563384
아라동,2021년 01월,2021년 1월,55238,115795850,3457152
아라동,2021년 02월,2021년 2월,49746,104113000,3108446
아라동,2021년 03월,2021년 3월,51813,105042100,3135927
아라동,2021년 04월,2021년 4월,50260,94682900,2825579
아라동,2021년 05월,2021년 5월,57174,107045700,3194475
아라동,2021년 06월,2021년 6월,60530,112190800,3346777
안덕면,2018년 01월,2018년 1월,2664,10007850,299586
안덕면,2018년 02월,2018년 2월,2387,8852300,265021
안덕면,2018년 03월,2018년 3월,2712,9981250,298765
안덕면,2018년 04월,2018년 4월,2817,9588800,286972
안덕면,2018년 05월,2018년 5월,3288,10540150,315393
안덕면,2018년 06월,2018년 6월,3493,10782750,322623
안덕면,2018년 07월,2018년 7월,4139,11881650,355422
안덕면,2018년 08월,2018년 8월,4060,11208700,335248
안덕면,2018년 09월,2018년 9월,3623,9638350,288263
안덕면,2018년 10월,2018년 10월,3398,9233950,276182
안덕면,2018년 11월,2018년 11월,3175,9171400,274335
안덕면,2018년 12월,2018년 12월,3287,10940800,327428
안덕면,2019년 01월,2019년 1월,5037,19138700,572942
안덕면,2019년 02월,2019년 2월,5365,21553400,645298
안덕면,2019년 03월,2019년 3월,6168,24666050,738470
안덕면,2019년 04월,2019년 4월,6535,24347150,728826
안덕면,2019년 05월,2019년 5월,7749,27228750,814968
안덕면,2019년 06월,2019년 6월,8549,29946400,896334
안덕면,2019년 07월,2019년 7월,10481,35578550,1064767
안덕면,2019년 08월,2019년 8월,12171,42604400,1275129
안덕면,2019년 09월,2019년 9월,6661,22078850,660723
안덕면,2019년 10월,2019년 10월,8470,28175450,843214
안덕면,2019년 11월,2019년 11월,9059,32506550,972986
안덕면,2019년 12월,2019년 12월,8997,35027700,1048622
안덕면,2020년 01월,2020년 1월,9399,37625800,1126491
안덕면,2020년 02월,2020년 2월,8489,34189050,1023587
안덕면,2020년 03월,2020년 3월,9668,36068850,1079715
안덕면,2020년 04월,2020년 4월,9656,35376349,1058947
안덕면,2020년 05월,2020년 5월,11779,41537000,1243221
안덕면,2020년 06월,2020년 6월,11814,42982400,1286533
안덕면,2020년 07월,2020년 7월,12480,43152748,1291487
안덕면,2020년 08월,2020년 8월,13596,48238800,1437582
안덕면,2020년 09월,2020년 9월,11245,33174850,985692
안덕면,2020년 10월,2020년 10월,10918,35010700,1038353
안덕면,2020년 11월,2020년 11월,10481,35431850,1052201
안덕면,2020년 12월,2020년 12월,9953,33677650,1002292
안덕면,2021년 01월,2021년 1월,9832,33522600,1003220
안덕면,2021년 02월,2021년 2월,9544,35158950,1052383
안덕면,2021년 03월,2021년 3월,10760,39511350,1182662
안덕면,2021년 04월,2021년 4월,11464,40209250,1203460
안덕면,2021년 05월,2021년 5월,13399,44037200,1317870
안덕면,2021년 06월,2021년 6월,13805,46467450,1385481
애월읍,2018년 01월,2018년 1월,3702,7744200,231453
애월읍,2018년 02월,2018년 2월,3182,6799950,203217
애월읍,2018년 03월,2018년 3월,3789,8239050,246239
애월읍,2018년 04월,2018년 4월,3733,7756850,231792
애월읍,2018년 05월,2018년 5월,4084,7819200,233577
애월읍,2018년 06월,2018년 6월,4276,8349500,249441
애월읍,2018년 07월,2018년 7월,5031,9775900,292052
애월읍,2018년 08월,2018년 8월,4454,7980150,238340
애월읍,2018년 09월,2018년 9월,3689,6243150,186405
애월읍,2018년 10월,2018년 10월,3537,5927500,176971
애월읍,2018년 11월,2018년 11월,3388,6189400,184870
애월읍,2018년 12월,2018년 12월,3289,6749250,201654
애월읍,2019년 01월,2019년 1월,3129,6324700,188969
애월읍,2019년 02월,2019년 2월,2811,5733100,171296
애월읍,2019년 03월,2019년 3월,3015,6057700,180998
애월읍,2019년 04월,2019년 4월,2997,5753700,171879
애월읍,2019년 05월,2019년 5월,4231,7364450,163291
애월읍,2019년 06월,2019년 6월,4795,8786950,262429
애월읍,2019년 07월,2019년 7월,5287,9908000,295935
애월읍,2019년 08월,2019년 8월,5390,9669800,288777
애월읍,2019년 09월,2019년 9월,4749,8122000,242512
애월읍,2019년 10월,2019년 10월,4479,7338950,219056
애월읍,2019년 11월,2019년 11월,6869,15380950,459809
애월읍,2019년 12월,2019년 12월,13387,40070100,1198886
애월읍,2020년 01월,2020년 1월,18289,58435300,1748666
애월읍,2020년 02월,2020년 2월,19199,58395800,1747240
애월읍,2020년 03월,2020년 3월,23171,66494950,1989196
애월읍,2020년 04월,2020년 4월,23199,66115500,1977823
애월읍,2020년 05월,2020년 5월,29041,80917650,2420785
애월읍,2020년 06월,2020년 6월,30249,78356550,2343428
애월읍,2020년 07월,2020년 7월,40444,104291450,3118966
애월읍,2020년 08월,2020년 8월,43067,112411340,3361977
애월읍,2020년 09월,2020년 9월,37419,84883500,2537820
애월읍,2020년 10월,2020년 10월,36791,87842750,2626511
애월읍,2020년 11월,2020년 11월,34200,89782750,2685376
애월읍,2020년 12월,2020년 12월,33615,88980300,2661340
애월읍,2021년 01월,2021년 1월,32503,84554750,2529006
애월읍,2021년 02월,2021년 2월,30567,81911700,2450078
애월읍,2021년 03월,2021년 3월,33859,90262150,2699833
애월읍,2021년 04월,2021년 4월,35383,91456441,2735409
애월읍,2021년 05월,2021년 5월,41080,103211100,3086534
애월읍,2021년 06월,2021년 6월,42490,103756400,3102615
연동,2018년 01월,2018년 1월,87893,206889500,6167585
연동,2018년 02월,2018년 2월,80743,191655500,5725187
연동,2018년 03월,2018년 3월,90628,209706300,6263385
연동,2018년 04월,2018년 4월,90536,196002700,5852557
연동,2018년 05월,2018년 5월,99607,201843450,6026218
연동,2018년 06월,2018년 6월,106320,210002200,6271434
연동,2018년 07월,2018년 7월,127759,253462200,7569058
연동,2018년 08월,2018년 8월,121127,236127850,7051253
연동,2018년 09월,2018년 9월,112172,206187100,6155745
연동,2018년 10월,2018년 10월,103328,194120950,5795548
연동,2018년 11월,2018년 11월,96205,196586350,5871094
연동,2018년 12월,2018년 12월,92782,211932650,6332751
연동,2019년 01월,2019년 1월,90183,203753650,6087433
연동,2019년 02월,2019년 2월,83752,191881450,5733305
연동,2019년 03월,2019년 3월,86765,192251450,5744477
연동,2019년 04월,2019년 4월,87345,184190350,5502015
연동,2019년 05월,2019년 5월,99507,197044200,5708857
연동,2019년 06월,2019년 6월,104813,204564100,6108931
연동,2019년 07월,2019년 7월,117094,230929350,6897382
연동,2019년 08월,2019년 8월,118698,228375261,6818997
연동,2019년 09월,2019년 9월,108349,202175700,6036109
연동,2019년 10월,2019년 10월,102100,182421200,5445097
연동,2019년 11월,2019년 11월,94404,183488850,5479842
연동,2019년 12월,2019년 12월,91744,199559550,5961710
연동,2020년 01월,2020년 1월,77081,173357100,5179415
연동,2020년 02월,2020년 2월,86995,184990350,5525399
연동,2020년 03월,2020년 3월,96062,193495350,5778052
연동,2020년 04월,2020년 4월,89161,173115250,5169094
연동,2020년 05월,2020년 5월,102397,193430500,5774664
연동,2020년 06월,2020년 6월,93671,174126550,5198046
연동,2020년 07월,2020년 7월,118315,217649050,6497094
연동,2020년 08월,2020년 8월,123257,227439000,6788264
연동,2020년 09월,2020년 9월,109284,187614200,5598069
연동,2020년 10월,2020년 10월,103635,181125650,5404373
연동,2020년 11월,2020년 11월,93837,180737600,5395328
연동,2020년 12월,2020년 12월,96956,195632400,5841486
연동,2021년 01월,2021년 1월,92675,186455350,5567724
연동,2021년 02월,2021년 2월,85077,175310650,5235507
연동,2021년 03월,2021년 3월,90560,183660400,5484355
연동,2021년 04월,2021년 4월,87258,167509250,5001183
연동,2021년 05월,2021년 5월,98129,181776100,5426576
연동,2021년 06월,2021년 6월,105468,189432610,5678533
영천동,2018년 01월,2018년 1월,5859,26620950,793393
영천동,2018년 02월,2018년 2월,5595,24788850,739562
영천동,2018년 03월,2018년 3월,6742,29111700,857329
영천동,2018년 04월,2018년 4월,6168,26815250,790207
영천동,2018년 05월,2018년 5월,6037,24046000,708360
영천동,2018년 06월,2018년 6월,6566,25458350,755476
영천동,2018년 07월,2018년 7월,7771,30305000,898503
영천동,2018년 08월,2018년 8월,7495,27934350,825782
영천동,2018년 09월,2018년 9월,6917,25920300,767534
영천동,2018년 10월,2018년 10월,6659,24895700,735610
영천동,2018년 11월,2018년 11월,6393,24418450,721739
영천동,2018년 12월,2018년 12월,6046,25220700,754521
영천동,2019년 01월,2019년 1월,4185,17198200,514894
영천동,2019년 02월,2019년 2월,6211,26749050,800923
영천동,2019년 03월,2019년 3월,6512,27313750,817749
영천동,2019년 04월,2019년 4월,5291,22056850,660382
영천동,2019년 05월,2019년 5월,7775,32714050,979514
영천동,2019년 06월,2019년 6월,7482,33003050,988202
영천동,2019년 07월,2019년 7월,6745,31923300,955965
영천동,2019년 08월,2019년 8월,5479,26368400,789671
영천동,2019년 09월,2019년 9월,3784,16944600,507387
영천동,2019년 10월,2019년 10월,3702,16214500,485536
영천동,2019년 11월,2019년 11월,3583,17172150,514277
영천동,2019년 12월,2019년 12월,3357,17544750,525532
영천동,2020년 01월,2020년 1월,3344,17786350,532747
영천동,2020년 02월,2020년 2월,3071,14006350,419440
영천동,2020년 03월,2020년 3월,3509,14617800,437644
영천동,2020년 04월,2020년 4월,3340,13762750,412072
영천동,2020년 05월,2020년 5월,3892,16905200,506191
영천동,2020년 06월,2020년 6월,4041,17383200,520481
영천동,2020년 07월,2020년 7월,6425,25272450,756605
영천동,2020년 08월,2020년 8월,13444,50754500,1519341
영천동,2020년 09월,2020년 9월,12345,42076100,1259227
영천동,2020년 10월,2020년 10월,10639,38365800,1148332
영천동,2020년 11월,2020년 11월,10483,40903000,1224491
영천동,2020년 12월,2020년 12월,11034,45443100,1360586
영천동,2021년 01월,2021년 1월,10412,43607950,1305692
영천동,2021년 02월,2021년 2월,9637,40278950,1206036
영천동,2021년 03월,2021년 3월,10530,44995500,1347270
영천동,2021년 04월,2021년 4월,9487,41495250,1242548
영천동,2021년 05월,2021년 5월,8559,32951350,986459
영천동,2021년 06월,2021년 6월,9652,35074700,1049860
예래동,2018년 01월,2018년 1월,2951,12408800,349560
예래동,2018년 02월,2018년 2월,2732,11120850,315450
예래동,2018년 03월,2018년 3월,3176,13505550,381015
예래동,2018년 04월,2018년 4월,3362,13901900,392205
예래동,2018년 05월,2018년 5월,3679,14295350,406894
예래동,2018년 06월,2018년 6월,3873,14140000,401488
예래동,2018년 07월,2018년 7월,4460,16477050,474460
예래동,2018년 08월,2018년 8월,4733,16294850,471553
예래동,2018년 09월,2018년 9월,4033,12324850,353914
예래동,2018년 10월,2018년 10월,3876,11873900,336232
예래동,2018년 11월,2018년 11월,3592,12548750,355684
예래동,2018년 12월,2018년 12월,3580,13406250,383591
예래동,2019년 01월,2019년 1월,3609,13382150,380619
예래동,2019년 02월,2019년 2월,3271,12034200,343467
예래동,2019년 03월,2019년 3월,2853,10722200,304677
예래동,2019년 04월,2019년 4월,2725,9982300,289245
예래동,2019년 05월,2019년 5월,3166,11338149,331056
예래동,2019년 06월,2019년 6월,5659,18830347,563557
예래동,2019년 07월,2019년 7월,5660,19188095,574269
예래동,2019년 08월,2019년 8월,5903,20235490,605590
예래동,2019년 09월,2019년 9월,5123,16327346,488551
예래동,2019년 10월,2019년 10월,4794,15295791,457710
예래동,2019년 11월,2019년 11월,4293,14201095,424996
예래동,2019년 12월,2019년 12월,3980,15437297,462149
예래동,2020년 01월,2020년 1월,4167,17346942,519386
예래동,2020년 02월,2020년 2월,3699,13627046,407904
예래동,2020년 03월,2020년 3월,4111,14309895,428298
예래동,2020년 04월,2020년 4월,4097,13601944,407023
예래동,2020년 05월,2020년 5월,5065,16806245,502957
예래동,2020년 06월,2020년 6월,5206,18336343,548782
예래동,2020년 07월,2020년 7월,5863,20849041,624029
예래동,2020년 08월,2020년 8월,5901,20497450,613476
예래동,2020년 09월,2020년 9월,4478,12611500,377225
예래동,2020년 10월,2020년 10월,4241,11937750,357097
예래동,2020년 11월,2020년 11월,3968,12130850,362934
예래동,2020년 12월,2020년 12월,4537,14459450,432683
예래동,2021년 01월,2021년 1월,4525,14789450,442544
예래동,2021년 02월,2021년 2월,4563,15566250,465853
예래동,2021년 03월,2021년 3월,4920,17300600,517786
예래동,2021년 04월,2021년 4월,5256,17646850,528119
예래동,2021년 05월,2021년 5월,6346,19494750,583282
예래동,2021년 06월,2021년 6월,6328,18753350,561054
오라동,2018년 01월,2018년 1월,21959,54526600,1630298
오라동,2018년 02월,2018년 2월,20462,51631850,1543747
오라동,2018년 03월,2018년 3월,22804,55909700,1671627
오라동,2018년 04월,2018년 4월,22516,52750250,1576940
오라동,2018년 05월,2018년 5월,25575,55474400,1657808
오라동,2018년 06월,2018년 6월,28124,60373450,1804156
오라동,2018년 07월,2018년 7월,34220,73072800,2183643
오라동,2018년 08월,2018년 8월,32538,68955750,2060554
오라동,2018년 09월,2018년 9월,29839,57673000,1710925
오라동,2018년 10월,2018년 10월,27793,55131400,1626529
오라동,2018년 11월,2018년 11월,25873,55900850,1654089
오라동,2018년 12월,2018년 12월,25950,61793000,1841881
오라동,2019년 01월,2019년 1월,25403,60950700,1796627
오라동,2019년 02월,2019년 2월,24220,58486400,1724327
오라동,2019년 03월,2019년 3월,25569,59515150,1755760
오라동,2019년 04월,2019년 4월,25365,55311750,1633054
오라동,2019년 05월,2019년 5월,28760,59584800,1755197
오라동,2019년 06월,2019년 6월,30830,62850300,1854638
오라동,2019년 07월,2019년 7월,35209,73058550,2157827
오라동,2019년 08월,2019년 8월,35696,70181500,2071006
오라동,2019년 09월,2019년 9월,35307,66121150,1948733
오라동,2019년 10월,2019년 10월,31604,56696450,1674216
오라동,2019년 11월,2019년 11월,27070,55212450,1641064
오라동,2019년 12월,2019년 12월,26760,59647100,1782693
오라동,2020년 01월,2020년 1월,26824,62218300,1859830
오라동,2020년 02월,2020년 2월,25411,57683650,1724132
오라동,2020년 03월,2020년 3월,27508,59354850,1773744
오라동,2020년 04월,2020년 4월,25770,53100000,1586646
오라동,2020년 05월,2020년 5월,29580,59632400,1781578
오라동,2020년 06월,2020년 6월,29489,58819899,1757194
오라동,2020년 07월,2020년 7월,35077,67532450,2017313
오라동,2020년 08월,2020년 8월,36243,70038100,2092120
오라동,2020년 09월,2020년 9월,30978,56426750,1685204
오라동,2020년 10월,2020년 10월,30489,56171250,1677534
오라동,2020년 11월,2020년 11월,27827,55021000,1643751
오라동,2020년 12월,2020년 12월,29036,62629100,1871624
오라동,2021년 01월,2021년 1월,27858,60085650,1795679
오라동,2021년 02월,2021년 2월,22967,50073100,1496493
오라동,2021년 03월,2021년 3월,25401,53931150,1611630
오라동,2021년 04월,2021년 4월,25765,51424200,1536252
오라동,2021년 05월,2021년 5월,29350,57321800,1712295
오라동,2021년 06월,2021년 6월,30482,58187300,1738107
외도동,2018년 01월,2018년 1월,40581,95864700,2864007
외도동,2018년 02월,2018년 2월,37306,88582050,2648170
외도동,2018년 03월,2018년 3월,42208,97356250,2910160
외도동,2018년 04월,2018년 4월,41487,88844750,2655016
외도동,2018년 05월,2018년 5월,46513,94064300,2810329
외도동,2018년 06월,2018년 6월,50174,100357550,2998174
외도동,2018년 07월,2018년 7월,61048,124292900,3713470
